id,sensorId,observationDate,julianDateUTC,verticalPosition,windSpeed,windDirection,windGust,qualityFlag,qartodFlags
1001269,3070,2023-08-10 15:01:48.000,2023222.126250,2.00,4.86,127.6,6.20,3,0000-0000-0000
1001280,3070,2023-08-10 15:31:48.000,2023222.147083,2.00,3.23,106.2,4.70,3,0000-0000-0000
1001286,3070,2023-08-10 16:01:48.000,2023222.167917,2.00,1.25,359.8,2.50,3,0000-0000-0000
1001297,3070,2023-08-10 16:31:48.000,2023222.188750,2.00,1.41,325.9,2.90,3,0000-0000-0000
1001302,3070,2023-08-10 17:01:48.000,2023222.209583,2.00,2.83,320.8,4.00,3,0000-0000-0000
1001313,3070,2023-08-10 17:31:48.000,2023222.230417,2.00,5.69,320.3,8.00,3,0000-0000-0000
1001319,3070,2023-08-10 18:01:48.000,2023222.251250,2.00,8.11,350.8,10.00,3,0000-0000-0000
1001330,3070,2023-08-10 18:31:48.000,2023222.272083,2.00,7.16,331.4,9.10,3,0000-0000-0000
1001336,3070,2023-08-10 19:01:48.000,2023222.292917,2.00,5.75,304.3,7.30,3,0000-0000-0000
1001347,3070,2023-08-10 19:31:48.000,2023222.313750,2.00,5.01,234.5,6.60,3,0000-0000-0000
1001352,3070,2023-08-10 20:01:48.000,2023222.334583,2.00,5.16,242.0,7.40,3,0000-0000-0000
1001363,3070,2023-08-10 20:31:48.000,2023222.355417,2.00,7.02,242.2,9.00,3,0000-0000-0000
1001369,3070,2023-08-10 21:01:48.000,2023222.376250,2.00,8.13,227.8,11.80,3,0000-0000-0000
1001380,3070,2023-08-10 21:31:48.000,2023222.397083,2.00,7.95,209.9,11.20,3,0000-0000-0000
1001385,3070,2023-08-10 22:01:48.000,2023222.417917,2.00,5.91,231.5,7.70,3,0000-0000-0000
1001396,3070,2023-08-10 22:31:48.000,2023222.438750,2.00,5.95,256.3,9.00,3,0000-0000-0000
1001401,3070,2023-08-10 23:01:48.000,2023222.459583,2.00,7.98,225.0,11.20,3,0000-0000-0000
1001413,3070,2023-08-10 23:31:48.000,2023222.480417,2.00,9.31,220.6,13.30,3,0000-0000-0000
1001419,3070,2023-08-11 00:01:48.000,2023222.501250,2.00,9.18,235.1,12.20,3,0000-0000-0000
1001430,3070,2023-08-11 00:31:48.000,2023222.522083,2.00,9.21,236.2,11.70,3,0000-0000-0000
1001436,3070,2023-08-11 01:01:48.000,2023222.542917,2.00,6.78,199.4,9.40,3,0000-0000-0000
1001447,3070,2023-08-11 01:31:48.000,2023222.563750,2.00,6.64,186.1,8.90,3,0000-0000-0000
1001452,3070,2023-08-11 02:01:48.000,2023222.584583,2.00,8.47,185.4,12.20,3,0000-0000-0000
1001463,3070,2023-08-11 02:31:48.000,2023222.605417,2.00,8.17,224.2,11.00,3,0000-0000-0000
1001469,3070,2023-08-11 03:01:48.000,2023222.626250,2.00,10.31,213.8,13.40,3,0000-0000-0000
1001480,3070,2023-08-11 03:31:48.000,2023222.647083,2.00,11.93,224.9,15.00,3,0000-0000-0000
1001486,3070,2023-08-11 04:01:48.000,2023222.667917,2.00,9.25,216.5,12.10,3,0000-0000-0000
1001497,3070,2023-08-11 04:31:48.000,2023222.688750,2.00,9.44,235.9,13.00,3,0000-0000-0000
1001503,3070,2023-08-11 05:01:48.000,2023222.709583,2.00,9.26,206.4,12.20,3,0000-0000-0000
1001514,3070,2023-08-11 05:31:48.000,2023222.730417,2.00,11.56,231.1,13.90,3,0000-0000-0000
1001520,3070,2023-08-11 06:01:48.000,2023222.751250,2.00,11.29,220.6,14.70,3,0000-0000-0000
1001531,3070,2023-08-11 06:31:48.000,2023222.772083,2.00,12.16,226.5,15.00,3,0000-0000-0000
1001537,3070,2023-08-11 07:01:48.000,2023222.792917,2.00,11.67,216.2,17.40,3,0000-0000-0000
1001549,3070,2023-08-11 07:31:48.000,2023222.813750,2.00,13.78,233.6,18.20,3,0000-0000-0000
1001555,3070,2023-08-11 08:01:48.000,2023222.834583,2.00,11.56,242.5,15.70,3,0000-0000-0000
1001565,3070,2023-08-11 08:31:48.000,2023222.855417,2.00,8.49,231.2,11.70,3,0000-0000-0000
1001570,3070,2023-08-11 09:01:48.000,2023222.876250,2.00,9.80,245.6,12.70,3,0000-0000-0000
1001579,3070,2023-08-11 09:51:06.000,2023222.910486,2.00,6.50,228.3,11.00,3,0000-0000-0000
1001585,3070,2023-08-11 10:21:13.000,2023222.931400,2.00,6.00,235.8,8.50,3,0000-0000-0000
1001594,3070,2023-08-11 10:51:13.000,2023222.952234,2.00,4.18,180.8,6.70,3,0000-0000-0000
1001608,3070,2023-08-11 11:21:13.000,2023222.973067,2.00,2.55,164.8,3.90,3,0000-0000-0000
1001609,3070,2023-08-11 11:51:13.000,2023222.993900,2.00,1.67,81.0,2.60,3,0000-0000-0000
1001614,3070,2023-08-11 12:21:13.000,2023223.014734,2.00,2.23,62.5,3.50,3,0000-0000-0000
1001624,3070,2023-08-11 12:51:13.000,2023223.035567,2.00,3.43,79.6,5.10,3,0000-0000-0000
1001629,3070,2023-08-11 13:21:13.000,2023223.056400,2.00,5.11,83.7,6.70,3,0000-0000-0000
1001639,3070,2023-08-11 13:51:13.000,2023223.077234,2.00,2.35,58.8,3.60,3,0000-0000-0000
1001644,3070,2023-08-11 14:21:13.000,2023223.098067,2.00,3.75,7.2,5.10,3,0000-0000-0000
1001654,3070,2023-08-11 14:51:13.000,2023223.118900,2.00,1.87,43.7,4.40,3,0000-0000-0000
1001659,3070,2023-08-11 15:21:13.000,2023223.139734,2.00,2.46,40.3,4.30,3,0000-0000-0000
1001669,3070,2023-08-11 15:51:13.000,2023223.160567,2.00,5.18,17.0,6.20,3,0000-0000-0000
1001674,3070,2023-08-11 16:21:13.000,2023223.181400,2.00,3.47,15.6,5.10,3,0000-0000-0000
1001684,3070,2023-08-11 16:51:13.000,2023223.202234,2.00,3.24,40.2,5.20,3,0000-0000-0000
1001689,3070,2023-08-11 17:21:13.000,2023223.223067,2.00,2.71,46.5,4.20,3,0000-0000-0000
1001700,3070,2023-08-11 17:51:13.000,2023223.243900,2.00,0.86,85.5,1.90,3,0000-0000-0000
1001705,3070,2023-08-11 18:21:13.000,2023223.264734,2.00,1.64,217.8,2.30,3,0000-0000-0000
1001717,3070,2023-08-11 18:51:13.000,2023223.285567,2.00,8.36,254.5,10.80,3,0000-0000-0000
1001721,3070,2023-08-11 19:21:13.000,2023223.306400,2.00,6.97,235.1,8.80,3,0000-0000-0000
1001731,3070,2023-08-11 19:51:13.000,2023223.327234,2.00,7.98,248.0,10.70,3,0000-0000-0000
1001733,3070,2023-08-11 20:21:13.000,2023223.348067,2.00,7.86,237.7,10.70,3,0000-0000-0000
1001746,3070,2023-08-11 20:51:13.000,2023223.368900,2.00,7.49,220.7,9.20,3,0000-0000-0000
1001750,3070,2023-08-11 21:21:13.000,2023223.389734,2.00,7.54,237.4,10.10,3,0000-0000-0000
1001760,3070,2023-08-11 21:51:13.000,2023223.410567,2.00,8.75,242.5,11.20,3,0000-0000-0000
1001765,3070,2023-08-11 22:21:13.000,2023223.431400,2.00,7.06,211.1,10.10,3,0000-0000-0000
1001775,3070,2023-08-11 22:51:13.000,2023223.452234,2.00,7.88,211.9,10.60,3,0000-0000-0000
1001780,3070,2023-08-11 23:21:13.000,2023223.473067,2.00,7.91,216.8,10.80,3,0000-0000-0000
1001790,3070,2023-08-11 23:51:13.000,2023223.493900,2.00,10.31,217.0,14.10,3,0000-0000-0000
