id,sensorId,observationDate,julianDateUTC,verticalPosition,windSpeed,windDirection,windGust,qualityFlag,qartodFlags
954184,2377,2023-04-07 08:30:00.000,2023096.855555,1.50,17.94,158.0,22.37,3,0000-0000-0000
954191,2377,2023-04-07 09:00:00.000,2023096.876389,1.50,19.04,156.6,23.73,3,0000-0000-0000
954201,2377,2023-04-07 09:30:00.000,2023096.897222,1.50,21.09,154.4,26.13,3,0000-0000-0000
954208,2377,2023-04-07 10:00:00.000,2023096.918055,1.50,20.59,155.0,25.37,3,0000-0000-0000
954219,2377,2023-04-07 10:30:00.000,2023096.938889,1.50,21.93,153.1,26.90,3,0000-0000-0000
954225,2377,2023-04-07 11:00:00.000,2023096.959722,1.50,20.16,153.3,26.30,3,0000-0000-0000
954235,2377,2023-04-07 11:30:00.000,2023096.980555,1.50,22.89,148.3,29.03,3,0000-0000-0000
954255,2377,2023-04-07 12:00:00.000,2023097.001388,1.50,21.16,165.6,25.40,3,0000-0000-0000
954256,2377,2023-04-07 12:30:00.000,2023097.022222,1.50,21.26,165.8,26.37,3,0000-0000-0000
954259,2377,2023-04-07 13:00:00.000,2023097.043055,1.50,24.50,155.0,31.60,3,0000-0000-0000
954269,2377,2023-04-07 13:30:00.000,2023097.063888,1.50,22.54,164.3,27.43,3,0000-0000-0000
954287,2377,2023-04-07 14:00:00.000,2023097.084722,1.50,21.36,171.5,28.30,3,0000-0000-0000
954288,2377,2023-04-07 14:30:00.000,2023097.105555,1.50,18.89,158.2,23.70,3,0000-0000-0000
954292,2377,2023-04-07 15:00:00.000,2023097.126388,1.50,17.39,161.5,22.80,3,0000-0000-0000
954302,2377,2023-04-07 15:30:00.000,2023097.147222,1.50,27.20,157.6,33.30,3,0000-0000-0000
954309,2377,2023-04-07 16:00:00.000,2023097.168055,1.50,24.06,147.9,31.10,3,0000-0000-0000
954319,2377,2023-04-07 16:30:00.000,2023097.188888,1.50,26.72,150.7,35.50,3,0000-0000-0000
954326,2377,2023-04-07 17:00:00.000,2023097.209722,1.50,23.12,150.0,29.73,3,0000-0000-0000
954336,2377,2023-04-07 17:30:00.000,2023097.230555,1.50,26.85,147.9,33.97,3,0000-0000-0000
954343,2377,2023-04-07 18:00:00.000,2023097.251388,1.50,24.13,156.2,29.53,3,0000-0000-0000
954353,2377,2023-04-07 18:30:00.000,2023097.272222,1.50,23.76,151.9,31.13,3,0000-0000-0000
954360,2377,2023-04-07 19:00:00.000,2023097.293055,1.50,23.06,151.2,29.53,3,0000-0000-0000
954370,2377,2023-04-07 19:30:00.000,2023097.313888,1.50,23.89,160.2,30.30,3,0000-0000-0000
954376,2377,2023-04-07 20:00:00.000,2023097.334722,1.50,21.81,161.9,28.63,3,0000-0000-0000
954386,2377,2023-04-07 20:30:00.000,2023097.355555,1.50,23.06,154.7,29.03,3,0000-0000-0000
954392,2377,2023-04-07 21:00:00.000,2023097.376388,1.50,27.64,155.1,33.50,3,0000-0000-0000
954402,2377,2023-04-07 21:30:00.000,2023097.397222,1.50,26.82,148.9,33.53,3,0000-0000-0000
954409,2377,2023-04-07 22:00:00.000,2023097.418055,1.50,27.46,147.6,32.87,3,0000-0000-0000
954419,2377,2023-04-07 22:30:00.000,2023097.438888,1.50,20.48,146.5,26.67,3,0000-0000-0000
