time,value,dataType,region
2023-04-11T17:31:00.000Z,19.89,waterdata,bop
2023-04-11T18:31:00.000Z,19.96,waterdata,bop
2023-04-11T19:31:00.000Z,19.95,waterdata,bop
2023-04-11T20:31:00.000Z,19.96,waterdata,bop
2023-04-11T21:31:00.000Z,19.94,waterdata,bop
2023-04-11T22:31:00.000Z,19.96,waterdata,bop
2023-04-11T23:31:00.000Z,19.94,waterdata,bop
2023-04-12T00:31:00.000Z,19.84,waterdata,bop
2023-04-12T01:31:00.000Z,19.8,waterdata,bop
2023-04-12T02:31:00.000Z,19.78,waterdata,bop
2023-04-12T03:31:00.000Z,19.8,waterdata,bop
2023-04-12T04:31:00.000Z,19.74,waterdata,bop
2023-04-12T05:31:00.000Z,19.55,waterdata,bop
2023-04-12T06:31:00.000Z,19.6,waterdata,bop
2023-04-12T07:31:00.000Z,19.64,waterdata,bop
2023-04-12T08:31:00.000Z,19.59,waterdata,bop
2023-04-12T09:31:00.000Z,19.65,waterdata,bop
2023-04-12T10:31:00.000Z,19.74,waterdata,bop
2023-04-12T11:31:00.000Z,19.82,waterdata,bop
2023-04-12T12:31:00.000Z,19.88,waterdata,bop
2023-04-12T13:31:00.000Z,19.91,waterdata,bop
2023-04-12T14:31:00.000Z,19.99,waterdata,bop
2023-04-12T15:31:00.000Z,20.05,waterdata,bop
2023-04-12T16:31:00.000Z,20.04,waterdata,bop
2023-04-12T17:31:00.000Z,20.04,waterdata,bop
2023-04-12T18:31:00.000Z,20.02,waterdata,bop
2023-04-12T19:31:00.000Z,20.01,waterdata,bop
2023-04-12T20:31:00.000Z,20.01,waterdata,bop
2023-04-12T21:31:00.000Z,19.99,waterdata,bop
2023-04-12T22:31:00.000Z,19.96,waterdata,bop
2023-04-12T23:31:00.000Z,19.92,waterdata,bop
2023-04-13T00:31:00.000Z,19.91,waterdata,bop
2023-04-13T01:31:00.000Z,19.89,waterdata,bop
2023-04-13T02:31:00.000Z,19.88,waterdata,bop
2023-04-13T03:31:00.000Z,19.8,waterdata,bop
2023-04-13T04:31:00.000Z,19.8,waterdata,bop
2023-04-13T05:31:00.000Z,19.76,waterdata,bop
2023-04-13T06:31:00.000Z,19.71,waterdata,bop
2023-04-13T07:31:00.000Z,19.68,waterdata,bop
2023-04-13T08:31:00.000Z,19.68,waterdata,bop
2023-04-13T09:31:00.000Z,19.72,waterdata,bop
2023-04-13T10:31:00.000Z,19.84,waterdata,bop
2023-04-13T11:31:00.000Z,20.03,waterdata,bop
2023-04-13T12:31:00.000Z,20.18,waterdata,bop
2023-04-13T13:31:00.000Z,20.3,waterdata,bop
2023-04-13T14:31:00.000Z,20.42,waterdata,bop
2023-04-13T15:31:00.000Z,20.42,waterdata,bop
2023-04-13T16:31:00.000Z,20.42,waterdata,bop
2023-04-13T17:31:00.000Z,20.33,waterdata,bop
2023-04-13T18:31:00.000Z,20.22,waterdata,bop
2023-04-13T19:31:00.000Z,20.25,waterdata,bop
2023-04-13T20:31:00.000Z,20.11,waterdata,bop
2023-04-13T21:31:00.000Z,20.04,waterdata,bop
2023-04-13T22:31:00.000Z,19.99,waterdata,bop
2023-04-13T23:31:00.000Z,19.97,waterdata,bop
2023-04-14T00:31:00.000Z,19.81,waterdata,bop
2023-04-14T01:31:00.000Z,19.54,waterdata,bop
2023-04-14T02:31:00.000Z,19.59,waterdata,bop
2023-04-14T03:31:00.000Z,19.63,waterdata,bop
2023-04-14T04:31:00.000Z,19.62,waterdata,bop
2023-04-14T05:31:00.000Z,19.6,waterdata,bop
2023-04-14T06:31:00.000Z,19.58,waterdata,bop
2023-04-14T07:31:00.000Z,19.62,waterdata,bop
2023-04-14T08:31:00.000Z,19.67,waterdata,bop
2023-04-14T09:31:00.000Z,19.7,waterdata,bop
2023-04-14T10:31:00.000Z,19.76,waterdata,bop
2023-04-14T11:31:00.000Z,19.84,waterdata,bop
2023-04-14T12:49:30.000Z,19.85,waterdata,bop
2023-04-14T13:49:30.000Z,19.91,waterdata,bop
2023-04-14T14:49:30.000Z,19.92,waterdata,bop
2023-04-14T15:49:30.000Z,19.9,waterdata,bop
2023-04-14T16:49:30.000Z,19.89,waterdata,bop
2023-04-14T17:49:30.000Z,19.86,waterdata,bop
2023-04-14T18:49:30.000Z,19.86,waterdata,bop
2023-04-14T19:49:30.000Z,19.81,waterdata,bop
2023-04-14T20:49:30.000Z,19.78,waterdata,bop
2023-04-14T21:49:30.000Z,19.76,waterdata,bop
2023-04-14T22:49:30.000Z,19.74,waterdata,bop
2023-04-14T23:49:30.000Z,19.74,waterdata,bop
2023-04-15T00:49:30.000Z,19.73,waterdata,bop
2023-04-15T01:49:30.000Z,19.7,waterdata,bop
2023-04-15T02:49:30.000Z,19.63,waterdata,bop
2023-04-15T03:49:30.000Z,19.61,waterdata,bop
2023-04-15T04:49:30.000Z,19.52,waterdata,bop
2023-04-15T05:49:30.000Z,19.48,waterdata,bop
2023-04-15T06:49:30.000Z,19.49,waterdata,bop
2023-04-15T07:49:30.000Z,19.49,waterdata,bop
2023-04-15T08:49:30.000Z,19.59,waterdata,bop
