time,value,dataType,region
2023-08-14T07:34:02.000Z,11.12,waterdata,tb
2023-08-14T07:49:00.000Z,11.57,waterdata,tb
2023-08-14T07:49:02.000Z,11.14,waterdata,tb
2023-08-14T08:04:00.000Z,11.03,waterdata,tb
2023-08-14T08:19:00.000Z,11.03,waterdata,tb
2023-08-14T08:34:00.000Z,10.87,waterdata,tb
2023-08-14T08:49:00.000Z,10.87,waterdata,tb
2023-08-14T09:04:00.000Z,11.34,waterdata,tb
2023-08-14T09:19:00.000Z,11.34,waterdata,tb
2023-08-14T09:34:00.000Z,11.1,waterdata,tb
2023-08-14T09:49:00.000Z,11.1,waterdata,tb
2023-08-14T10:04:00.000Z,10.94,waterdata,tb
2023-08-14T10:19:00.000Z,10.94,waterdata,tb
2023-08-14T10:34:00.000Z,10.45,waterdata,tb
2023-08-14T10:49:00.000Z,10.45,waterdata,tb
2023-08-14T10:49:15.000Z,10.92,waterdata,tb
2023-08-14T11:04:00.000Z,10.36,waterdata,tb
2023-08-14T11:19:00.000Z,10.36,waterdata,tb
2023-08-14T11:34:00.000Z,10.27,waterdata,tb
2023-08-14T11:49:00.000Z,10.27,waterdata,tb
2023-08-14T12:04:00.000Z,10.4,waterdata,tb
2023-08-14T12:19:00.000Z,10.4,waterdata,tb
2023-08-14T12:34:00.000Z,10.42,waterdata,tb
2023-08-14T12:49:00.000Z,10.42,waterdata,tb
2023-08-14T13:04:00.000Z,10.38,waterdata,tb
2023-08-14T13:19:00.000Z,10.38,waterdata,tb
2023-08-14T13:34:00.000Z,10.42,waterdata,tb
2023-08-14T13:49:00.000Z,10.42,waterdata,tb
2023-08-14T14:04:00.000Z,10.54,waterdata,tb
2023-08-14T14:19:00.000Z,10.54,waterdata,tb
2023-08-14T14:34:00.000Z,10.5,waterdata,tb
2023-08-14T14:49:00.000Z,10.5,waterdata,tb
2023-08-14T15:04:00.000Z,10.67,waterdata,tb
2023-08-14T15:19:00.000Z,10.67,waterdata,tb
2023-08-14T15:34:00.000Z,10.55,waterdata,tb
2023-08-14T15:49:00.000Z,10.55,waterdata,tb
2023-08-14T16:04:00.000Z,10.51,waterdata,tb
2023-08-14T16:19:00.000Z,10.51,waterdata,tb
2023-08-14T16:34:00.000Z,10.49,waterdata,tb
2023-08-14T16:49:00.000Z,10.49,waterdata,tb
2023-08-14T17:04:00.000Z,10.5,waterdata,tb
2023-08-14T17:19:00.000Z,10.5,waterdata,tb
2023-08-14T17:34:00.000Z,10.5,waterdata,tb
2023-08-14T17:49:00.000Z,10.5,waterdata,tb
2023-08-14T18:04:00.000Z,10.48,waterdata,tb
2023-08-14T18:19:00.000Z,10.48,waterdata,tb
2023-08-14T18:34:00.000Z,10.47,waterdata,tb
2023-08-14T18:49:00.000Z,10.47,waterdata,tb
2023-08-14T19:04:00.000Z,10.51,waterdata,tb
2023-08-14T19:19:00.000Z,10.51,waterdata,tb
2023-08-14T19:34:00.000Z,10.45,waterdata,tb
2023-08-14T19:49:00.000Z,10.45,waterdata,tb
2023-08-14T20:04:00.000Z,10.48,waterdata,tb
2023-08-14T20:19:00.000Z,10.48,waterdata,tb
2023-08-14T20:34:00.000Z,10.6,waterdata,tb
2023-08-14T20:49:00.000Z,10.6,waterdata,tb
2023-08-14T21:04:00.000Z,10.63,waterdata,tb
2023-08-14T21:19:00.000Z,10.63,waterdata,tb
2023-08-22T22:49:00.000Z,11.43,waterdata,tb
2023-08-22T22:49:02.000Z,10.77,waterdata,tb
2023-08-22T22:49:16.000Z,11.38,waterdata,tb
2023-08-22T23:04:00.000Z,11.48,waterdata,tb
2023-08-22T23:04:02.000Z,10.83,waterdata,tb
2023-08-22T23:19:00.000Z,11.48,waterdata,tb
2023-08-22T23:19:02.000Z,10.77,waterdata,tb
2023-08-22T23:34:00.000Z,11.49,waterdata,tb
2023-08-22T23:34:02.000Z,10.8,waterdata,tb
2023-08-22T23:49:00.000Z,11.49,waterdata,tb
2023-08-22T23:49:02.000Z,10.98,waterdata,tb
2023-08-23T00:04:00.000Z,11.53,waterdata,tb
2023-08-23T00:04:02.000Z,11.09,waterdata,tb
2023-08-23T00:19:00.000Z,11.53,waterdata,tb
2023-08-23T00:19:02.000Z,11.08,waterdata,tb
2023-08-23T00:34:00.000Z,11.52,waterdata,tb
2023-08-23T00:34:02.000Z,11.09,waterdata,tb
2023-08-23T00:49:00.000Z,11.52,waterdata,tb
2023-08-23T00:49:02.000Z,11.07,waterdata,tb
2023-08-23T01:04:00.000Z,11.52,waterdata,tb
2023-08-23T01:04:02.000Z,11.06,waterdata,tb
2023-08-23T01:19:00.000Z,11.52,waterdata,tb
2023-08-23T01:19:02.000Z,11.1,waterdata,tb
2023-08-23T01:34:00.000Z,11.51,waterdata,tb
2023-08-23T01:34:02.000Z,11.11,waterdata,tb
2023-08-23T01:49:00.000Z,11.51,waterdata,tb
2023-08-23T01:49:02.000Z,11.15,waterdata,tb
2023-08-23T02:04:00.000Z,11.53,waterdata,tb
2023-08-23T02:04:02.000Z,11.17,waterdata,tb
2023-08-23T02:19:00.000Z,11.53,waterdata,tb
2023-08-23T02:19:02.000Z,11.21,waterdata,tb
2023-08-23T02:34:00.000Z,11.53,waterdata,tb
2023-08-23T02:34:02.000Z,11.19,waterdata,tb
2023-08-23T02:49:00.000Z,11.53,waterdata,tb
2023-08-23T02:49:02.000Z,11.18,waterdata,tb
2023-08-23T03:04:00.000Z,11.54,waterdata,tb
2023-08-23T03:04:02.000Z,11.23,waterdata,tb
2023-08-23T03:19:00.000Z,11.54,waterdata,tb
2023-08-23T03:19:02.000Z,11.06,waterdata,tb
2023-08-23T03:34:00.000Z,11.4,waterdata,tb
2023-08-23T03:34:02.000Z,11.08,waterdata,tb
2023-08-23T03:49:00.000Z,11.4,waterdata,tb
2023-08-23T03:49:02.000Z,11.19,waterdata,tb
2023-08-23T04:04:00.000Z,11.41,waterdata,tb
2023-08-23T04:04:02.000Z,11.29,waterdata,tb
2023-08-23T04:19:00.000Z,11.41,waterdata,tb
2023-08-23T04:19:02.000Z,11.27,waterdata,tb
2023-08-23T04:34:00.000Z,11.34,waterdata,tb
2023-08-23T04:34:02.000Z,11.31,waterdata,tb
2023-08-23T04:49:00.000Z,11.34,waterdata,tb
2023-08-23T04:49:02.000Z,11.21,waterdata,tb
2023-08-23T04:49:15.000Z,11.46,waterdata,tb
2023-08-23T05:04:00.000Z,11.48,waterdata,tb
2023-08-23T05:04:02.000Z,11.25,waterdata,tb
2023-08-23T05:19:00.000Z,11.48,waterdata,tb
2023-08-23T05:19:02.000Z,11.22,waterdata,tb
2023-08-23T05:34:00.000Z,11.46,waterdata,tb
2023-08-23T05:34:02.000Z,11.25,waterdata,tb
2023-08-23T05:49:00.000Z,11.46,waterdata,tb
2023-08-23T05:49:02.000Z,11.22,waterdata,tb
2023-08-23T05:49:14.000Z,11.39,waterdata,tb
2023-08-23T06:04:00.000Z,11.43,waterdata,tb
2023-08-23T06:04:02.000Z,11.2,waterdata,tb
2023-08-23T06:19:00.000Z,11.43,waterdata,tb
2023-08-23T06:19:02.000Z,11.17,waterdata,tb
2023-08-23T06:34:00.000Z,11.46,waterdata,tb
2023-08-23T06:34:02.000Z,11.24,waterdata,tb
2023-08-23T06:49:00.000Z,11.46,waterdata,tb
2023-08-23T06:49:02.000Z,11.14,waterdata,tb
2023-08-23T06:49:14.000Z,11.37,waterdata,tb
2023-08-23T07:04:00.000Z,11.33,waterdata,tb
2023-08-23T07:04:02.000Z,11.07,waterdata,tb
2023-08-23T07:19:00.000Z,11.33,waterdata,tb
2023-08-23T07:19:02.000Z,10.98,waterdata,tb
2023-08-23T07:34:00.000Z,11.35,waterdata,tb
2023-08-23T07:34:02.000Z,11.0,waterdata,tb
2023-08-23T07:49:00.000Z,11.35,waterdata,tb
2023-08-23T07:49:02.000Z,11.02,waterdata,tb
2023-08-23T07:49:14.000Z,11.38,waterdata,tb
2023-08-23T08:04:00.000Z,11.33,waterdata,tb
2023-08-23T08:04:02.000Z,11.09,waterdata,tb
2023-08-23T08:19:00.000Z,11.33,waterdata,tb
2023-08-23T08:19:02.000Z,11.14,waterdata,tb
2023-08-23T08:34:00.000Z,11.24,waterdata,tb
2023-08-14T21:34:00.000Z,10.65,waterdata,tb
2023-08-14T21:49:00.000Z,10.65,waterdata,tb
2023-08-14T22:04:00.000Z,10.64,waterdata,tb
2023-08-14T22:19:00.000Z,10.64,waterdata,tb
2023-08-14T22:34:00.000Z,10.54,waterdata,tb
2023-08-14T22:49:00.000Z,10.54,waterdata,tb
2023-08-14T23:04:00.000Z,10.5,waterdata,tb
2023-08-14T23:19:00.000Z,10.5,waterdata,tb
2023-08-14T23:34:00.000Z,10.47,waterdata,tb
2023-08-14T23:49:00.000Z,10.47,waterdata,tb
2023-08-15T00:00:00.000Z,11.03,waterdata,tb
2023-08-15T00:04:00.000Z,10.49,waterdata,tb
2023-08-15T00:19:00.000Z,10.49,waterdata,tb
